id,sexm,psp1_1,psp2_1,psp3_1,ssa1_1,ssa2_1,ssa3_1,ssa4_1,ssa5_1,ssa6_1,ssa7_1,psp1_2,psp2_2,psp3_2,ssa1_2,ssa2_2,ssa3_2,ssa4_2,ssa5_2,ssa6_2,ssa7_2,psp1_3,psp2_3,psp3_3,ssa1_3,ssa2_3,ssa3_3,ssa4_3,ssa5_3,ssa6_3,ssa7_3,psp1_4,psp2_4,psp3_4,ssa1_4,ssa2_4,ssa3_4,ssa4_4,ssa5_4,ssa6_4,ssa7_4,psp1_5,psp2_5,psp3_5,ssa1_5,ssa2_5,ssa3_5,ssa4_5,ssa5_5,ssa6_5,ssa7_5
126,1,5,3,6,2,1,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,1,1,4,4,1,0,1,1,2,0,0,1,3,1,2,1,2,0,2,1,0,2,5,5,1,0,1,2,0,1,0,3,4,2,0,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,0,4,5,5,3,3,3,1,2,0,0,7,7,7,4,4,4,2,3,0,0,1,2,2,2,1,2,1,0,0,0,6,7,7,3,2,2,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,1,6,5,5,1,1,1,2,1,2,1,5,4,3,1,1,1,1,1,0,0,4,3,3,1,1,1,0,0,0,0,3,3,2,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,0,6,4,6,3,4,4,3,3,3,1,5,5,4,2,0,0,0,0,0,0,5,5,3,3,3,4,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,0,4,5,5,3,1,2,2,2,3,1,3,5,5,3,2,2,3,2,2,2,4,3,4,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,1,2,2,2,0,1,0,1,1,0,0,2,2,2,0,0,0,0,0,0,0,3,2,3,1,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,0,7,7,7,1,2,2,3,4,1,0,5,7,3,2,2,1,2,3,1,0,4,1,2,2,1,1,0,1,0,0,6,6,5,2,1,2,2,2,0,0,7,5,4,2,1,1,2,2,1,0
136,0,4,3,4,2,3,2,3,3,3,2,3,2,1,1,1,2,1,1,3,0,3,1,1,1,1,2,1,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,0,1,1,1,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,2,1,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0
138,0,6,6,6,2,1,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,3,3,3,3,0,0,4,4,4,1,1,1,1,1,0,0,7,7,7,4,4,4,4,4,0,0
139,0,6,6,5,3,2,2,3,3,1,1,6,5,3,2,3,2,2,3,1,1,6,6,3,2,3,3,2,3,1,1,6,6,3,3,3,3,3,3,1,1,6,6,2,3,3,3,3,4,1,1
141,0,4,6,5,2,2,2,2,2,1,1,4,5,4,2,2,2,2,2,2,1,2,3,3,2,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2
142,0,7,4,2,1,2,1,2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,1,4,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,0,4,5,6,0,3,3,2,3,4,4,4,5,5,0,0,1,1,0,3,2,5,4,5,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,1,1,1,1,1,1,1
144,0,7,7,6,3,3,2,3,2,1,2,5,5,4,3,3,1,2,2,2,1,6,6,5,2,3,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,2,2,2,3,2,1,1
145,0,5,5,5,3,3,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,0,5,6,6,2,3,2,2,2,2,2,6,5,2,2,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,2,2,2,3,2,2
148,0,5,6,4,2,2,2,3,2,1,2,5,3,3,1,2,3,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,2,3,3,1,2,1,1
149,0,6,7,7,2,2,1,2,2,1,1,2,2,2,0,0,0,0,0,0,0,1,2,3,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,2,1,2,2,0,0
151,0,5,3,3,3,3,3,3,4,2,1,5,5,5,3,3,4,4,4,2,1,5,5,5,3,3,3,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,4,4,4,4,4,4
152,0,5,7,6,1,1,1,1,2,3,1,7,7,7,3,3,3,1,3,3,1,6,6,6,1,3,3,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,3,3,3,3,2,2
154,0,7,7,6,3,2,2,3,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,2,2,2,2,1,1,0,1,1,1,1,1,0,2,2,0,0,2,1,1,1,1,2,1,0,0,0
156,0,3,3,3,2,0,0,1,1,0,0,2,1,2,1,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,0,2,2,2,1,1,1,1,1,1,0
158,0,7,6,6,2,2,3,3,4,4,2,5,5,4,2,2,1,2,3,1,0,4,5,5,2,2,2,3,3,2,1,6,6,5,2,3,2,1,2,2,1,5,5,4,2,2,2,2,2,1,0
159,1,6,5,5,3,2,2,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,2,3,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,1,7,6,7,2,1,1,2,1,2,1,6,6,6,0,1,0,0,0,0,0,6,5,5,0,0,0,0,0,0,0,6,5,5,0,0,1,0,0,0,0,6,5,5,0,0,0,0,0,0,0
161,0,7,7,7,0,2,0,2,2,1,0,7,7,4,1,1,0,0,0,0,0,7,7,1,0,0,0,0,0,0,0,7,7,1,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,0,2,2,3,2,0,0,2,0,1,0,1,1,2,2,0,2,2,0,0,1,1,1,3,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,0,1,0,0,0
163,1,4,4,5,3,3,3,3,3,3,2,3,3,2,3,2,2,2,1,0,1,4,4,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,1,4,6,6,1,0,1,1,0,0,2,3,3,1,0,2,0,1,2,0,0,5,5,3,1,3,2,2,2,1,3,5,4,5,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,0,5,7,3,1,1,0,2,2,2,2,3,4,4,1,1,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1
167,1,6,5,5,1,2,2,2,4,1,3,5,5,6,3,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,0,6,4,3,3,2,3,3,3,2,1,1,4,4,4,4,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0
169,0,4,4,4,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
170,0,1,1,1,3,1,2,0,2,0,0,1,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,0,0,0,0,0,1,1,1,2,0,0,2,2,0,0
172,1,7,7,7,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,0,7,4,6,4,4,4,4,4,1,1,6,7,7,4,4,4,4,4,0,2,5,6,7,4,3,3,4,4,2,2,6,5,5,3,3,3,3,3,2,3,5,3,4,2,2,2,2,3,1,1
174,1,2,3,4,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,2,2,3,2,1,1,1,1,1,0,1,1,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
175,0,7,6,6,3,4,3,4,2,2,1,7,7,4,3,3,3,2,2,2,3,5,6,5,2,2,2,3,3,4,3,6,6,5,2,2,3,3,2,4,2,5,5,5,4,4,4,4,4,4,4
176,1,4,6,6,1,0,1,1,0,1,1,3,3,3,0,0,0,0,0,0,0,4,2,3,0,1,0,0,0,0,0,2,3,3,0,0,0,0,0,4,4,2,2,2,0,0,0,0,0,0,0
177,0,4,4,4,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,0,1,1,0,0,2,0
178,0,3,4,3,1,1,1,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,0,1,0,0,0,0,2,3,1,1,1,1,1,0,0,0,3,3,1,1,1,1,1,1,0,0
179,1,4,3,5,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,1,0,0,0,0,0,0,3,4,3,1,0,0,1,1,1,1,3,2,3,1,1,1,1,1,1,1
181,0,1,3,4,0,0,2,2,2,3,0,2,2,1,1,0,1,1,0,0,2,2,4,4,3,3,3,3,3,3,0,2,1,1,0,2,0,1,0,0,0,2,2,4,0,0,0,0,0,0,0
184,1,4,3,5,3,4,1,2,4,3,2,4,3,5,2,2,4,1,3,2,0,5,4,4,2,3,2,4,1,1,2,3,5,2,2,4,1,2,4,1,3,4,3,5,1,3,2,4,1,3,1
185,0,5,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
186,0,2,4,5,2,2,1,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,1,2,1,1,3,3,3,3,3,2,2,2,1,0,1,1,1,2,2,2,1,2,0,0
187,1,3,1,2,2,1,1,2,2,0,1,1,1,2,0,0,0,2,2,0,0,1,1,1,2,2,1,1,1,0,0,1,1,1,3,2,3,2,3,1,0,2,1,1,2,1,1,1,0,0,0
188,0,5,5,5,2,3,2,0,2,1,0,1,1,1,1,0,0,1,1,0,0,1,2,1,1,0,0,0,0,1,0,1,1,1,2,1,1,2,1,1,1,1,2,2,2,0,0,1,0,1,0
189,0,4,4,6,0,0,0,1,0,0,0,3,3,3,1,1,1,1,1,1,1,4,4,4,2,2,2,1,1,1,0,4,4,1,1,1,1,1,1,1,1,4,4,2,0,0,0,0,0,0,0
190,0,5,5,5,3,3,4,3,4,3,2,5,5,4,2,1,1,2,1,1,1,5,4,5,2,3,1,2,2,2,1,4,5,4,3,2,3,2,3,2,1,5,5,5,2,3,2,2,3,2,1
191,0,6,7,7,3,3,3,2,3,2,2,3,3,3,2,1,2,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,2,2,2,2,2,1,1,5,5,5,2,2,2,2,2,1,1
192,0,2,3,3,2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,2,2,1,0,0,1,1,0,0
193,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,0,5,6,6,3,3,3,3,2,3,2,6,6,6,3,3,2,3,3,3,1,6,6,5,2,2,2,3,3,3,2,5,5,4,1,1,1,1,1,1,1,3,3,3,2,2,1,1,2,1,1
196,0,4,3,2,0,0,1,2,0,1,0,4,3,2,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0
197,0,7,6,6,3,3,3,3,4,3,2,6,7,7,2,2,3,3,3,3,2,7,7,7,3,3,3,3,3,3,2,6,6,6,2,2,2,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,0,1,1,1,3,2,3,3,3,2,3,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
199,0,5,6,6,3,2,3,2,3,3,2,5,5,6,2,2,2,2,3,3,2,5,5,6,2,2,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,2,2,2,2,2,2,2
200,0,6,4,4,1,1,1,2,1,1,1,1,1,1,1,0,1,2,0,0,2,2,2,2,1,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
201,0,4,3,3,3,2,2,2,2,2,2,2,2,3,1,1,0,1,1,0,1,2,2,2,1,1,0,1,1,0,1,2,2,1,1,1,0,0,1,0,1,2,2,2,1,1,0,0,0,1,0
202,0,6,5,5,3,3,3,3,2,2,1,6,6,6,3,4,4,2,1,1,1,6,6,6,4,4,4,4,4,1,1,5,5,5,3,3,3,3,0,0,0,6,6,6,3,3,3,3,2,0,0
203,0,4,3,4,0,0,0,0,0,0,0,5,2,1,0,0,1,0,0,0,0,6,2,1,1,1,2,2,1,0,1,1,1,1,2,1,1,0,0,0,0,4,1,1,1,2,0,0,0,0,0
204,0,5,7,5,4,2,3,2,1,1,0,7,7,5,4,4,4,3,2,3,0,2,2,1,4,2,4,4,3,1,1,4,3,1,4,3,2,1,3,2,1,5,4,1,4,3,2,0,1,0,0
205,0,6,4,3,3,2,1,2,2,1,0,4,4,4,2,2,2,2,2,2,3,3,2,2,1,0,0,1,1,1,1,5,4,3,2,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,0,3,6,6,3,2,3,3,1,0,0,7,7,7,3,3,3,2,0,1,0,6,6,6,4,3,3,3,2,4,2,7,5,4,0,0,0,0,2,0,0,4,3,4,2,2,2,2,2,2,2
208,0,3,5,5,2,1,1,1,1,0,0,4,4,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,2,1,1,1,1,0,0,5,5,4,1,1,1,1,1,0,0
209,0,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2,2,2,2,2,2,3,3,4,1,3,2,2,2,3,3,2,3,3,2,1,2,2,2,2,2,3,3,3,2,3,3,2,2,3,3
210,0,3,3,3,1,0,1,2,1,0,1,2,2,3,2,3,2,3,2,1,2,2,3,3,2,2,2,2,2,2,2,3,4,4,1,1,1,1,2,2,2,5,5,5,3,3,2,2,1,3,2
212,0,7,7,7,3,4,3,3,3,4,1,7,6,6,2,2,2,2,2,3,0,7,7,7,3,3,3,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,3,3,3,3,3,3,1
213,1,5,6,5,2,2,2,2,2,2,1,7,7,7,3,3,3,4,3,2,0,6,6,6,2,2,2,2,2,2,0,7,7,7,2,2,2,2,2,1,0,6,7,7,2,2,2,2,2,1,0
214,0,5,6,5,2,2,2,2,2,3,2,7,7,7,3,3,3,3,3,4,2,7,7,7,3,4,4,4,4,4,2,6,6,5,3,3,2,2,3,2,0,7,7,7,3,3,3,3,3,3,1
215,0,5,5,6,4,3,4,4,4,4,0,6,5,4,1,1,1,2,1,2,0,5,3,2,2,3,2,3,3,2,0,6,5,4,2,2,2,3,2,2,0,3,3,3,2,2,2,3,3,2,0
216,0,7,7,7,3,3,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,0,6,2,1,2,2,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
218,0,4,6,6,2,2,1,3,0,1,0,2,2,2,0,1,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
219,1,2,2,2,0,0,0,0,1,0,2,1,1,1,0,0,1,1,1,0,1,1,2,1,0,1,1,1,1,0,1,2,2,1,0,1,0,1,1,0,1,5,4,5,2,1,1,2,1,1,1
220,0,5,6,7,4,3,3,3,3,1,1,6,6,6,3,3,4,4,3,2,2,6,6,6,3,2,3,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,0,4,6,6,4,2,2,3,4,4,2,1,1,1,0,0,0,0,0,0,0,3,2,1,1,1,1,0,0,0,0,5,2,2,1,1,1,0,0,1,0,3,3,1,0,0,0,0,0,0,0
