"cldq_1","cldq_2","cldq_4","cldq_5","cldq_6","swan_1","swan_2","swan_3","swan_4","swan_5","swan_6","swan_7","swan_8","swan_9","hpc_mean"
4,1,3,3,3,4,6,4,3,3,4,4,4,4,1.42105263157895
3,1,3,1,3,3,4,4,3,3,4,4,2,4,2.47368421052632
2,1,1,1,1,6,5,7,7,5,6,7,4,6,1.61111111111111
2,1,1,1,1,6,6,6,6,6,6,6,6,6,1.36842105263158
1,1,1,1,1,5,6,6,6,6,6,6,4,6,1.21052631578947
2,2,2,3,3,4,4,5,5,5,5,4,5,4,1.26315789473684
1,1,1,1,1,6,6,7,7,7,7,7,6,7,1
3,1,3,1,2,6,6,6,6,7,6,6,6,6,1.61111111111111
1,1,1,1,1,6,5,5,6,6,6,5,5,4,1.73684210526316
2,1,1,2,3,4,NA,5,6,4,4,4,4,4,1.42105263157895
1,1,1,3,1,4,4,3,4,4,4,3,3,3,2.125
3,2,2,1,1,4,5,6,6,5,4,6,4,5,1.68421052631579
1,1,1,1,1,7,6,6,6,7,7,7,5,6,1.15789473684211
1,1,1,1,1,7,7,7,5,7,7,7,7,7,1.73684210526316
3,3,1,1,2,2,6,6,6,6,6,6,6,5,1.10526315789474
1,1,1,1,1,4,4,3,4,3,3,3,3,4,2.10526315789474
1,1,1,1,1,6,6,6,7,7,7,6,7,7,1.05263157894737
2,1,1,1,1,5,5,4,4,5,4,5,4,4,1.94736842105263
1,1,3,1,1,3,3,3,3,3,3,3,3,3,1.63157894736842
3,1,2,1,2,5,6,6,5,5,6,6,6,6,1.15789473684211
2,1,1,2,1,4,4,4,4,4,4,4,4,4,1.78947368421053
1,1,1,1,1,7,7,7,7,7,7,7,6,7,1
3,2,2,2,3,4,4,4,4,4,4,4,4,4,1.78947368421053
5,5,5,5,5,7,7,7,7,7,7,7,7,7,1.05263157894737
2,1,1,1,1,6,6,6,6,4,5,5,6,7,1
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42105263157895
3,1,2,3,3,4,5,6,4,3,5,4,3,3,2.26315789473684
4,4,4,4,4,1,2,6,1,1,1,1,2,1,3.68421052631579
1,1,1,1,1,5,5,NA,4,4,5,5,4,4,1.52631578947368
3,2,2,2,2,4,3,4,3,4,3,3,1,3,1.26315789473684
2,1,2,3,2,6,6,5,6,7,4,6,4,7,1.10526315789474
2,1,1,1,1,5,5,4,4,5,4,5,4,5,1.42105263157895
2,1,1,1,1,5,5,6,7,7,6,6,4,4,1.26315789473684
1,1,1,1,1,6,6,6,5,5,6,5,5,5,1.52631578947368
1,1,1,1,1,6,6,6,5,5,6,6,5,6,1.89473684210526
4,1,2,2,3,4,6,6,6,5,7,5,6,6,1.36842105263158
2,1,1,1,1,4,4,4,4,4,4,4,3,4,2.15789473684211
2,1,1,1,2,4,2,3,3,3,3,2,2,3,1.89473684210526
2,1,3,3,4,6,6,4,5,6,6,4,4,5,1.68421052631579
4,1,1,1,1,4,4,5,3,3,4,4,4,4,1.68421052631579
2,1,1,1,1,6,4,4,6,6,6,6,4,4,1.21052631578947
1,1,1,1,1,6,5,4,5,5,7,4,4,5,1.73684210526316
1,1,1,1,1,6,6,6,6,6,6,6,6,6,1
1,1,1,1,1,7,7,7,7,7,7,7,6,7,1.10526315789474
5,5,1,1,5,4,5,6,3,1,4,1,1,3,2.84210526315789
4,1,1,1,1,2,3,4,4,1,4,2,2,4,2.36842105263158
2,1,1,1,1,3,3,4,2,1,4,2,2,2,2.21052631578947
1,1,1,1,1,3,3,3,NA,2,3,3,3,1,2.10526315789474
1,1,1,1,1,4,4,4,3,4,3,3,2,4,1.94736842105263
1,1,1,1,1,6,7,6,7,6,6,6,7,7,1.05263157894737
2,1,1,1,1,3,4,4,4,4,4,4,4,4,1.31578947368421
1,1,1,1,1,6,6,5,7,7,7,7,4,5,1.31578947368421
2,2,3,4,4,4,3,3,4,2,4,2,1,3,1.78947368421053
1,1,1,1,1,4,6,6,4,4,6,4,4,4,1.63157894736842
1,1,2,1,1,4,4,4,5,5,6,6,3,6,1.26315789473684
3,1,2,3,3,2,3,3,3,3,3,3,3,3,3
1,1,1,1,1,7,6,6,6,6,6,6,5,6,1.05263157894737
2,1,1,1,1,4,5,6,5,5,6,6,4,5,2.10526315789474
1,1,1,1,1,6,6,6,6,5,5,6,5,5,1.26315789473684
1,1,1,1,1,6,5,7,6,7,6,7,5,6,1.15789473684211
2,1,2,4,1,4,4,5,5,5,5,4,3,4,1.78947368421053
3,1,1,2,3,4,3,2,2,3,4,2,1,3,2.78947368421053
1,1,1,1,1,4,4,4,4,5,5,5,5,5,1
1,1,1,1,1,6,6,7,5,5,6,6,5,4,1.21052631578947
2,1,1,1,1,6,4,7,4,4,5,4,5,4,2.05263157894737
3,1,1,1,2,6,6,5,5,6,6,6,4,5,1.36842105263158
5,3,5,5,5,4,4,4,2,2,2,4,1,2,2.94736842105263
2,1,1,1,1,5,4,5,5,4,4,4,4,4,1.68421052631579
3,3,3,3,2,4,4,4,3,4,4,4,4,4,1.52631578947368
1,1,1,1,1,4,4,4,3,3,3,3,5,5,2.15789473684211
1,1,1,1,1,6,6,6,6,4,6,3,4,4,1.21052631578947
4,1,3,3,1,4,5,6,6,4,5,5,4,4,1.52631578947368
1,1,1,1,1,4,5,6,7,6,7,7,7,7,1.63157894736842
2,1,1,5,1,4,4,4,4,5,3,4,NA,3,1.52631578947368
1,1,1,1,1,5,4,4,4,4,4,4,3,4,1.15789473684211
2,1,1,1,1,6,6,6,6,7,6,6,4,6,1.31578947368421
1,1,1,4,1,3,6,4,3,1,2,2,4,4,1.84210526315789
1,1,1,1,1,3,3,4,4,2,2,5,1,5,2.36842105263158
2,1,1,1,1,6,6,5,7,7,4,7,4,7,1
2,1,1,1,1,4,4,5,4,4,5,5,4,5,2
2,1,3,5,5,2,3,4,1,1,1,1,1,1,3.15789473684211
5,1,2,1,2,2,2,2,1,1,1,2,2,2,1.89473684210526
3,1,1,1,1,6,6,7,7,7,7,7,5,7,1.31578947368421
2,1,1,2,2,4,6,5,5,4,4,4,4,4,1.26315789473684
3,1,1,1,1,1,4,4,4,3,2,2,1,1,3
3,2,4,3,4,4,5,4,5,5,4,5,4,4,1.57894736842105
1,1,1,1,1,5,5,4,6,5,6,6,5,5,1.31578947368421
1,1,1,1,1,7,7,7,7,7,7,7,7,7,1
1,1,1,1,1,6,6,6,6,7,7,6,6,6,1.05263157894737
1,1,1,1,1,5,5,4,5,5,5,4,5,4,1.78947368421053
1,1,1,1,1,4,5,5,5,4,4,4,3,5,1.47368421052632
3,1,2,1,1,4,4,4,4,4,4,4,4,4,1.05555555555556
1,1,1,1,1,6,6,7,6,6,6,6,6,6,1
NA,1,1,1,1,7,5,4,6,6,6,6,4,6,1.15789473684211
1,1,1,1,1,6,6,7,6,6,6,6,4,6,1.21052631578947
1,1,1,1,1,7,7,7,7,7,7,6,5,7,1.21052631578947
1,1,1,1,1,5,4,5,5,4,4,5,5,5,1.21052631578947
3,1,3,3,4,4,4,4,3,3,4,2,1,3,3.26315789473684
2,1,1,3,2,3,3,4,3,3,3,3,2,4,2
3,3,3,2,3,3,3,3,3,4,4,3,2,3,2.73684210526316
4,1,2,1,1,6,6,6,6,5,6,5,4,5,1.52631578947368
5,2,4,4,4,4,4,6,6,6,4,6,4,6,1.63157894736842
2,1,1,1,1,5,7,4,4,4,5,6,4,5,1.89473684210526
1,1,1,1,1,7,7,7,7,7,7,7,6,7,1.05263157894737
1,1,1,1,1,4,4,6,4,3,4,3,4,4,1.84210526315789
3,1,1,1,1,7,6,5,6,7,7,7,4,7,1.72222222222222
2,1,1,1,3,1,4,2,1,1,1,2,2,1,2.42105263157895
1,1,1,1,1,3,3,7,7,7,4,6,6,7,1.15789473684211
1,1,1,1,1,4,4,5,4,4,5,5,4,5,1.68421052631579
1,1,1,1,1,4,4,4,4,4,4,4,3,4,1.73684210526316
2,1,2,1,1,4,4,4,4,4,4,4,4,4,2.15789473684211
3,2,3,3,4,3,3,3,3,4,3,2,3,3,2
1,1,1,1,1,7,6,6,5,6,7,7,4,6,1.05263157894737
2,1,1,1,1,4,4,4,4,3,4,3,4,4,1.52631578947368
5,5,5,5,4,3,3,4,2,2,2,3,3,3,2.05263157894737
2,4,4,4,4,2,4,3,3,5,3,4,1,3,3.05263157894737
2,2,2,1,1,5,6,6,6,4,6,6,5,6,1.26315789473684
2,1,2,1,1,7,7,5,7,7,7,7,7,7,1.31578947368421
3,2,1,1,1,6,6,5,6,6,6,6,6,7,1.26315789473684
1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.31578947368421
2,1,2,1,1,4,4,4,4,5,5,4,4,5,1.21052631578947
3,1,1,1,1,4,3,5,3,4,2,4,2,2,1.78947368421053
2,2,3,4,5,1,1,2,1,1,1,1,1,2,3.26315789473684
1,1,1,1,1,7,7,7,7,7,7,6,6,7,1.21052631578947
1,1,3,4,4,4,4,4,4,2,2,1,1,4,1.36842105263158
1,1,1,1,1,5,6,7,6,7,7,7,7,6,1
2,1,1,1,1,4,4,4,4,4,4,4,4,4,2.05263157894737
1,1,1,5,1,7,7,7,7,7,7,7,7,7,1
3,2,2,2,1,4,4,5,3,4,5,5,3,6,1.68421052631579
1,1,1,1,1,5,4,5,4,4,3,3,4,6,2.73684210526316
1,1,1,1,1,4,6,6,6,5,6,6,4,4,1.21052631578947
3,1,3,3,1,3,3,6,2,3,4,4,4,3,2.73684210526316
1,1,1,1,1,6,6,6,NA,4,6,4,6,4,1
2,1,1,1,1,4,5,3,2,3,3,4,2,4,1.68421052631579
1,1,1,1,1,6,6,6,5,6,6,6,5,6,1.42105263157895
1,1,1,1,1,7,7,6,6,7,7,7,6,6,1.42105263157895
3,1,3,1,1,3,4,3,4,2,4,4,2,4,2.42105263157895
2,1,1,2,2,4,6,4,6,4,4,5,4,5,1.05263157894737
1,1,1,1,1,6,6,6,7,7,7,6,4,7,1.26315789473684
1,1,1,1,1,6,6,6,5,5,5,5,4,4,1.05263157894737
1,1,1,1,1,7,7,7,6,6,7,5,6,6,1.05263157894737
4,2,4,4,4,2,2,2,2,2,4,2,2,2,2.94736842105263
2,1,1,1,1,7,7,6,7,7,7,7,6,6,1.05263157894737
1,1,1,1,1,4,6,6,6,6,6,NA,4,4,1
3,1,2,3,1,3,4,4,4,4,5,4,3,5,1.73684210526316
3,2,4,1,2,4,4,4,4,4,4,4,4,4,1.10526315789474
1,1,1,1,1,6,6,7,6,6,6,6,7,6,1.42105263157895
2,1,1,1,1,5,5,6,4,4,4,5,5,4,1.31578947368421
1,1,1,1,1,4,5,6,4,3,5,4,4,6,1.21052631578947
1,1,1,1,1,7,6,4,7,7,6,6,7,4,1.21052631578947
1,1,1,1,1,5,4,4,4,5,4,4,4,5,1.36842105263158
5,2,1,1,1,4,2,4,4,3,3,3,1,1,2.26315789473684
2,1,1,1,1,4,4,NA,5,5,5,5,1,6,2.15789473684211
2,1,1,1,1,6,7,6,6,7,6,7,7,6,1.05263157894737
3,1,1,1,1,3,4,5,5,3,5,3,4,4,1.73684210526316
1,1,1,1,1,6,6,6,6,6,6,6,6,6,1
3,1,1,2,3,4,4,4,4,4,4,4,4,4,1.42105263157895
1,1,2,2,2,4,4,4,4,4,4,4,4,4,1.31578947368421
1,1,1,1,1,6,6,6,4,5,4,4,4,5,1.36842105263158
1,1,1,1,1,4,4,4,4,4,4,4,4,4,1.73684210526316
3,1,1,1,1,6,6,7,6,5,6,5,5,6,1.31578947368421
3,1,1,2,1,3,4,4,4,3,4,4,4,4,2.36842105263158
2,3,4,4,5,4,4,4,4,3,4,4,4,4,1.36842105263158
2,1,1,1,1,6,6,7,7,5,7,6,5,7,1.21052631578947
1,1,1,3,1,2,2,2,2,2,2,2,2,2,3.10526315789474
3,2,4,5,5,5,6,4,5,6,4,4,5,3,1.73684210526316
2,1,1,1,1,5,5,6,6,6,6,6,4,6,1.26315789473684
2,2,1,1,1,7,7,7,7,7,7,7,7,7,1
2,2,2,2,1,4,5,6,6,4,4,6,4,6,2.05263157894737
1,1,1,1,1,4,4,4,4,4,4,4,3,4,1.16666666666667
3,2,1,1,2,4,4,4,4,4,4,6,4,4,1.05263157894737
1,1,1,1,1,7,5,6,7,7,6,7,6,7,1.21052631578947
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10526315789474
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
5,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05263157894737
1,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36842105263158
1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21052631578947
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52631578947368
3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73684210526316
3,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89473684210526
3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31578947368421
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47368421052632
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36842105263158
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63157894736842
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05263157894737
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05882352941176
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89473684210526
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94736842105263
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36842105263158
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26315789473684
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21052631578947
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63157894736842
1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73684210526316
4,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05263157894737
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63157894736842
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57894736842105
2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52631578947368
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47058823529412
3,4,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42105263157895
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10526315789474
4,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10526315789474
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73684210526316
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89473684210526
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57894736842105
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57894736842105
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52631578947368
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57894736842105
2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73684210526316
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10526315789474
2,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47368421052632
2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31578947368421
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15789473684211
1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21052631578947
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31578947368421
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57894736842105
1,1,1,1,1,6,6,5,6,7,6,6,6,6,1
